Absinhe,2,Absinthe,Spirit
Advocaat,2,Advocaat,Liqueur
Allspice,2,Allspice,Spice
Amaretto,41,Ameretto,Liqueur
Anise,2,Anise,Spirit
Anisette,2,Anise,Spirit
Pernod,1,Anise,Spirit
Ricard,1,Anise,Spirit
Apple Brandy,2,Apple Brandy,Spirit
Apple Juice,9,Apple Juice,Juice
Apricot Brandy,10,Apricot Brandy,Spirit
Banana,8,Banana,Fruit
Benedictine,8,Benedictine,Liqueur
Angostura Bitters,10,Bitters,Bitter
Bitters,15,Bitters,Bitter
Blue Curacao,13,Blue Curacao,Syrup
Curacao,1,Blue Curacao,Syrup
Bourbon,16,Bourbon,Spirit
Jack Daniels,5,Bourbon,Spirit
Jim Beam,2,Bourbon,Spirit
Wild Turkey,4,Bourbon,Spirit
Brandy,28,Brandy,Spirit
Cognac,6,Brandy,Spirit
Brown Sugar,4,Brown Sugar,Assumed
Demerara Sugar,1,Brown Sugar,Assumed
Cachaca,3,Cachaca,Spirit
Campari,6,Campari,Liqueur
Carbonated Water,16,Carbonated Water,Mixer
Cardamom,3,Cardamom,Spice
Cayenne Pepper,1,Cayenne Pepper,Spice
Celery Salt,2,Celery Salt,Spice
Chambord Raspberry Liqueur,8,Chambord,Liqueur
Cherry,19,Cherry,Fruit
Cherry Brandy,6,Cherry Brandy,Spirit
Cinnamon,12,Cinnamon,Spice
Cloves,6,Cloves,Spice
Club Soda,13,Club Soda,Mixer
Cocoa Powder,5,Cocoa Powder,Other
Coffee,26,Coffee,Other
Espresso,2,Coffee,Other
Kahlua,29,Coffee Liqueur,Liqueur
Tia Maria,2,Coffee Liqueur,Liqueur
Coffee Liqueur,4,Coffee Liqueur,Liqueur
Coca-Cola,13,Cola,Mixer
Coriander,2,Coriander,Spice
Cranberry Juice,24,Cranberry Juice,Juice
Cream,9,Cream,Other
Light Cream,16,Cream,Other
Whipped Cream,8,Cream,Other
Whipping Cream,2,Cream,Other
Heavy Cream,5,Cream,Other
Creme De Cacao,10,Creme De Cacao,Liqueur
Creme De Cassis,7,Creme De Cassis,Liqueur
Green Creme De Menthe,3,Creme De Menthe,Liqueur
White Creme De Menthe,5,Creme De Menthe,Liqueur
Creme De Mure,1,Creme De Mure,Liqueur
Dark Rum,17,Rum,Spirit
Dry Vermouth,25,Dry Vermouth,Wine
Egg,9,Egg,Other
Egg White,15,Egg,Other
Egg Yolk,4,Egg,Other
Apple,4,Fruit,Fruit
Galliano,8,Galliano,Liqueur
Gin,95,Gin,Spirit
Ginger,7,Ginger,Spice
Ginger Ale,16,Ginger Ale,Mixer
Ginger Beer,3,Ginger Beer,Mixer
Grand Marnier,10,Grand Marnier,Liqueur
Grapefruit Juice,8,Grapefruit Juice,Juice
Green Chartreuse,5,Green Chartreuse,Liqueur
Grenadine,40,Grenadine,Syrup
Honey,5,Honey,Other
Ice,46,Ice,Assumed
Baileys Irish Cream,25,Irish Cream Liqueur,Liqueur
