ingredient,item,category
7-Up,Lemonade,Mixer
Absinthe,Absinthe,Spirit
Absolut Citron,Lemon Vodka,Spirit
Absolut Vodka,Vodka,Spirit
Advocaat,Advocaat,Liqueur
Allspice,Allspice,Spice
Amaretto,Ameretto,Liqueur
Angostura Bitters,Bitters,Bitter
Anise,Anise,Spirit
Anisette,Anise,Spirit
Apple,Fruit,Fruit
Apple Brandy,Apple Brandy,Spirit
Apple Juice,Apple Juice,Juice
Apricot Brandy,Apricot Brandy,Spirit
Baileys Irish Cream,Irish Cream Liqueur,Liqueur
Banana,Banana,Fruit
Benedictine,Benedictine,Liqueur
Bitters,Bitters,Bitter
Blended Whiskey,Whisky,Spirit
Blue Curacao,Blue Curacao,Syrup
Bourbon,Bourbon,Spirit
Brandy,Brandy,Spirit
Brown Sugar,Brown Sugar,Assumed
Cachaca,Cachaca,Spirit
Campari,Campari,Liqueur
Carbonated Water,Carbonated Water,Mixer
Cardamom,Cardamom,Spice
Cayenne Pepper,Cayenne Pepper,Spice
Celery Salt,Celery Salt,Spice
Chambord Raspberry Liqueur,Chambord,Liqueur
Champagne,Sparkling Wine,Wine
Cherry,Cherry,Fruit
Cherry Brandy,Cherry Brandy,Spirit
Cinnamon,Cinnamon,Spice
Cloves,Cloves,Spice
Club Soda,Club Soda,Mixer
Coca-Cola,Cola,Mixer
Cocoa Powder,Cocoa Powder,Other
Coffee,Coffee,Other
Coffee Liqueur,Coffee Liqueur,Liqueur
Cognac,Brandy,Spirit
Cointreau,Triple Sec,Liqueur
Coriander,Coriander,Spice
Cranberry Juice,Cranberry Juice,Juice
Cream,Cream,Other
Creme De Cacao,Creme De Cacao,Liqueur
Creme De Cassis,Creme De Cassis,Liqueur
Creme De Mure,Creme De Mure,Liqueur
Curacao,Blue Curacao,Syrup
Dark Rum,Rum,Spirit
Demerara Sugar,Brown Sugar,Assumed
Dry Vermouth,Dry Vermouth,Wine
Egg,Egg,Other
Egg White,Egg,Other
Egg Yolk,Egg,Other
Espresso,Coffee,Other
Fresh Lemon Juice,Lemon,Fruit
Fresh Lime Juice,Lime,Fruit
Galliano,Galliano,Liqueur
Gin,Gin,Spirit
Ginger,Ginger,Spice
Ginger Ale,Ginger Ale,Mixer
Ginger Beer,Ginger Beer,Mixer
Grand Marnier,Grand Marnier,Liqueur
Grapefruit Juice,Grapefruit Juice,Juice
Green Chartreuse,Green Chartreuse,Liqueur
Green Creme De Menthe,Creme De Menthe,Liqueur
Grenadine,Grenadine,Syrup
Heavy Cream,Cream,Other
Honey,Honey,Other
Ice,Ice,Assumed
Irish Cream,Irish Cream Liqueur,Liqueur
Irish Whiskey,Irish Whiskey,Spirit
Islay Single Malt Scotch,Whisky,Spirit
Jack Daniels,Bourbon,Spirit
Jim Beam,Bourbon,Spirit
Johnnie Walker,Whisky,Spirit
Kahlua,Coffee Liqueur,Liqueur
Lemon,Lemon,Fruit
Lemon Juice,Lemon Juice,Juice
Lemon Peel,Lemon,Fruit
Lemon Vodka,Lemon Vodka,Spirit
Lemonade,Lemonade,Mixer
Light Cream,Cream,Other
Light Rum,Light Rum,Spirit
Lime,Lime,Fruit
Lime Juice,Lime Juice,Juice
Lime Peel,Lime,Fruit
Malibu Rum,Malibu,Liqueur
Maraschino Cherry,Maraschino Cherry,Fruit
Milk,Milk,Other
Mint,Mint,Spice
Nutmeg,Nutmeg,Spice
Olive,Olive,Other
Orange,Orange,Fruit
Orange Bitters,Orange Bitters,Bitter
Orange Juice,Orange Juice,Juice
Orange Peel,Orange,Fruit
Passion Fruit Juice,Passion Fruit,Fruit
Peach Schnapps,Peach Schnapps,Liqueur
Pepper,Pepper,Assumed
Pernod,Anise,Spirit
Pineapple,Pineapple,Fruit
Pineapple Juice,Pineapple Juice,Juice
Port,Port,Fortified Wine
Powdered Sugar,Powdered Sugar,Other
Prosecco,Sparkling Wine,Wine
Red Wine,Red Wine,Wine
Ricard,Anise,Spirit
Rosso Vermouth,Sweet Vermouth,Fortified Wine
Rum,Rum,Spirit
Rye Whiskey,Rye Whiskey,Spirit
Salt,Salt,Assumed
Sambuca,Sambucca,Liqueur
Scotch,Whisky,Spirit
Sherry,Sherry,Wine
Soda Water,Soda Water,Mixer
Southern Comfort,Southern Comfort,Liqueur
Spiced Rum,Spiced Rum,Spirit
Sprite,Lemonade,Mixer
Strawberries,Strawberries,Fruit
Sugar,Sugar,Assumed
Sugar Syrup,Sugar Syrup,Syrup
Sweet Vermouth,Sweet Vermouth,Fortified Wine
Tabasco Sauce,Tabasco,Other
Tea,Tea,Assumed
Tequila,Tequila,Spirit
Tia Maria,Coffee Liqueur,Liqueur
Tomato Juice,Tomato Juice,Juice
Tonic Water,Tonic Water,Mixer
Triple Sec,Triple Sec,Liqueur
Vanilla Extract,Vanilla Extract,Spice
Vodka,Vodka,Spirit
Water,Water,Assumed
Whipped Cream,Cream,Other
Whipping Cream,Cream,Other
Whiskey,Whisky,Spirit
Whisky,Whisky,Spirit
White Creme De Menthe,Creme De Menthe,Liqueur
White Rum,White Rum,Spirit
Wild Turkey,Bourbon,Spirit
Wine,White Wine,Wine
Worcestershire Sauce,Worcester Sauce,Spice
Yoghurt,Yoghurt,Other
Drambuie,Drambuie,Liqueur
Blended Scotch,Whisky,Spirit
Sloe Gin,Sloe Gin,Liqueur
Rosemary,Rosemary,Spice
Cherry Liqueur,Cherry Liqueur,Liqueur
Jägermeister,Jägermeister,Liqueur
Aperol,Aperol,Liqueur
Kiwi,Kiwi,Fruit
Cumin Seed,Cumin,Spice
Mezcal,Mezcal,Spirit
Ouzo,Anise,Spirit
Lime Juice Cordial,Lime Cordial,Syrup
Anis,Anise,Spirit
